City or municipality,Province,Class
Bangued*,Abra,Mun
Boliney,Abra,Mun
Bucay,Abra,Mun
Bucloc,Abra,Mun
Daguioman,Abra,Mun
Danglas,Abra,Mun
Dolores,Abra,Mun
La Paz,Abra,Mun
Lacub,Abra,Mun
Lagangilang,Abra,Mun
Lagayan,Abra,Mun
Langiden,Abra,Mun
Licuan-Baay,Abra,Mun
Luba,Abra,Mun
Malibcong,Abra,Mun
Manabo,Abra,Mun
Peñarrubia,Abra,Mun
Pidigan,Abra,Mun
Pilar,Abra,Mun
Sallapadan,Abra,Mun
San Isidro,Abra,Mun
San Juan,Abra,Mun
San Quintin,Abra,Mun
Tayum,Abra,Mun
Tineg,Abra,Mun
Tubo,Abra,Mun
Villaviciosa,Abra,Mun
Buenavista,Agusan del Norte,Mun
Butuan*,Agusan del Norte,HUC
Cabadbaran,Agusan del Norte,CC
Carmen,Agusan del Norte,Mun
Jabonga,Agusan del Norte,Mun
Kitcharao,Agusan del Norte,Mun
Las Nieves,Agusan del Norte,Mun
Magallanes,Agusan del Norte,Mun
Nasipit,Agusan del Norte,Mun
Remedios T. Romualdez,Agusan del Norte,Mun
Santiago,Agusan del Norte,Mun
Tubay,Agusan del Norte,Mun
Bayugan*,Agusan del Sur,CC
Bunawan,Agusan del Sur,Mun
Esperanza,Agusan del Sur,Mun
La Paz,Agusan del Sur,Mun
Loreto,Agusan del Sur,Mun
Prosperidad,Agusan del Sur,Mun
Rosario,Agusan del Sur,Mun
San Francisco,Agusan del Sur,Mun
San Luis,Agusan del Sur,Mun
Santa Josefa,Agusan del Sur,Mun
Sibagat,Agusan del Sur,Mun
Talacogon,Agusan del Sur,Mun
Trento,Agusan del Sur,Mun
Veruela,Agusan del Sur,Mun
Altavas,Aklan,Mun
Balete,Aklan,Mun
Banga,Aklan,Mun
Batan,Aklan,Mun
Buruanga,Aklan,Mun
Ibajay,Aklan,Mun
Kalibo*,Aklan,Mun
Lezo,Aklan,Mun
Libacao,Aklan,Mun
Madalag,Aklan,Mun
Makato,Aklan,Mun
Malay,Aklan,Mun
Malinao,Aklan,Mun
Nabas,Aklan,Mun
New Washington,Aklan,Mun
Numancia,Aklan,Mun
Tangalan,Aklan,Mun
Bacacay,Albay,Mun
Camalig,Albay,Mun
Daraga,Albay,Mun
Guinobatan,Albay,Mun
Jovellar,Albay,Mun
Legazpi*,Albay,CC
Libon,Albay,Mun
Ligao,Albay,CC
Malilipot,Albay,Mun
Malinao,Albay,Mun
Manito,Albay,Mun
Oas,Albay,Mun
Pio Duran,Albay,Mun
Polangui,Albay,Mun
Rapu-Rapu,Albay,Mun
Santo Domingo,Albay,Mun
Tabaco,Albay,CC
Tiwi,Albay,Mun
Anini-y,Antique,Mun
Barbaza,Antique,Mun
Belison,Antique,Mun
Bugasong,Antique,Mun
Caluya,Antique,Mun
Culasi,Antique,Mun
Hamtic,Antique,Mun
Laua-an,Antique,Mun
Libertad,Antique,Mun
Pandan,Antique,Mun
Patnongon,Antique,Mun
San Jose de Buenavista*,Antique,Mun
San Remigio,Antique,Mun
Sebaste,Antique,Mun
Sibalom,Antique,Mun
Tibiao,Antique,Mun
Tobias Fornier,Antique,Mun
Valderrama,Antique,Mun
Calanasan,Apayao,Mun
Conner*,Apayao,Mun
Flora,Apayao,Mun
Kabugao,Apayao,Mun
Luna,Apayao,Mun
Pudtol,Apayao,Mun
Santa Marcela,Apayao,Mun
Baler,Aurora,Mun
Casiguran,Aurora,Mun
Dilasag,Aurora,Mun
Dinalungan,Aurora,Mun
Dingalan,Aurora,Mun
Dipaculao,Aurora,Mun
Maria Aurora*,Aurora,Mun
San Luis,Aurora,Mun
Akbar,Basilan,Mun
Al-Barka,Basilan,Mun
Hadji Mohammad Ajul,Basilan,Mun
Hadji Muhtamad,Basilan,Mun
Isabela*,Basilan,CC
Lamitan,Basilan,CC
Lantawan,Basilan,Mun
Maluso,Basilan,Mun
Sumisip,Basilan,Mun
Tabuan-Lasa,Basilan,Mun
Tipo-Tipo,Basilan,Mun
Tuburan,Basilan,Mun
Ungkaya Pukan,Basilan,Mun
Abucay,Bataan,Mun
Bagac,Bataan,Mun
Balanga,Bataan,CC
Dinalupihan,Bataan,Mun
Hermosa,Bataan,Mun
Limay,Bataan,Mun
Mariveles*,Bataan,Mun
Morong,Bataan,Mun
Orani,Bataan,Mun
Orion,Bataan,Mun
Pilar,Bataan,Mun
Samal,Bataan,Mun
Basco*,Batanes,Mun
Itbayat,Batanes,Mun
Ivana,Batanes,Mun
Mahatao,Batanes,Mun
Sabtang,Batanes,Mun
Uyugan,Batanes,Mun
Agoncillo,Batangas,Mun
Alitagtag,Batangas,Mun
Balayan,Batangas,Mun
Balete,Batangas,Mun
Batangas City,Batangas,CC
Bauan,Batangas,Mun
Calaca,Batangas,CC
Calatagan,Batangas,Mun
Cuenca,Batangas,Mun
Ibaan,Batangas,Mun
Laurel,Batangas,Mun
Lemery,Batangas,Mun
Lian,Batangas,Mun
Lipa*,Batangas,CC
Lobo,Batangas,Mun
Mabini,Batangas,Mun
Malvar,Batangas,Mun
Mataasnakahoy,Batangas,Mun
Nasugbu,Batangas,Mun
Padre Garcia,Batangas,Mun
Rosario,Batangas,Mun
San Jose,Batangas,Mun
San Juan,Batangas,Mun
San Luis,Batangas,Mun
San Nicolas,Batangas,Mun
San Pascual,Batangas,Mun
Santa Teresita,Batangas,Mun
Santo Tomas,Batangas,CC
Taal,Batangas,Mun
Talisay,Batangas,Mun
Tanauan,Batangas,CC
Taysan,Batangas,Mun
Tingloy,Batangas,Mun
Tuy,Batangas,Mun
Atok,Benguet,Mun
Baguio*,Benguet,HUC
Bakun,Benguet,Mun
Bokod,Benguet,Mun
Buguias,Benguet,Mun
Itogon,Benguet,Mun
Kabayan,Benguet,Mun
Kapangan,Benguet,Mun
Kibungan,Benguet,Mun
La Trinidad,Benguet,Mun
Mankayan,Benguet,Mun
Sablan,Benguet,Mun
Tuba,Benguet,Mun
Tublay,Benguet,Mun
Almeria,Biliran,Mun
Biliran,Biliran,Mun
Cabucgayan,Biliran,Mun
Caibiran,Biliran,Mun
Culaba,Biliran,Mun
Kawayan,Biliran,Mun
Maripipi,Biliran,Mun
Naval*,Biliran,Mun
Alburquerque,Bohol,Mun
Alicia,Bohol,Mun
Anda,Bohol,Mun
Antequera,Bohol,Mun
Baclayon,Bohol,Mun
Balilihan,Bohol,Mun
Batuan,Bohol,Mun
Bien Unido,Bohol,Mun
Bilar,Bohol,Mun
Buenavista,Bohol,Mun
Calape,Bohol,Mun
Candijay,Bohol,Mun
Carmen,Bohol,Mun
Catigbian,Bohol,Mun
Clarin,Bohol,Mun
Corella,Bohol,Mun
Cortes,Bohol,Mun
Dagohoy,Bohol,Mun
Danao,Bohol,Mun
Dauis,Bohol,Mun
Dimiao,Bohol,Mun
Duero,Bohol,Mun
Garcia Hernandez,Bohol,Mun
Getafe,Bohol,Mun
Guindulman,Bohol,Mun
Inabanga,Bohol,Mun
Jagna,Bohol,Mun
Lila,Bohol,Mun
Loay,Bohol,Mun
Loboc,Bohol,Mun
Loon,Bohol,Mun
Mabini,Bohol,Mun
Maribojoc,Bohol,Mun
Panglao,Bohol,Mun
Pilar,Bohol,Mun
President Carlos P. Garcia,Bohol,Mun
Sagbayan,Bohol,Mun
San Isidro,Bohol,Mun
San Miguel,Bohol,Mun
Sevilla,Bohol,Mun
Sierra Bullones,Bohol,Mun
Sikatuna,Bohol,Mun
Tagbilaran*,Bohol,CC
Talibon,Bohol,Mun
Trinidad,Bohol,Mun
Tubigon,Bohol,Mun
Ubay,Bohol,Mun
Valencia,Bohol,Mun
Baungon,Bukidnon,Mun
Cabanglasan,Bukidnon,Mun
Damulog,Bukidnon,Mun
Dangcagan,Bukidnon,Mun
Don Carlos,Bukidnon,Mun
Impasugong,Bukidnon,Mun
Kadingilan,Bukidnon,Mun
Kalilangan,Bukidnon,Mun
Kibawe,Bukidnon,Mun
Kitaotao,Bukidnon,Mun
